,gene,cluster
856,TCHHL1,Singleton
857,CEACAM20,Singleton
858,KRT28,Singleton
859,TXNDC8,Singleton
860,SLC35G3,Singleton
861,GJA10,Singleton
862,PRR30,Singleton
863,KRTAP3-1,Singleton
864,BANF2,Singleton
865,ANKRD62,Singleton
866,RBMY1A1,Singleton
867,ASIC5,Singleton
868,SSX2B,Singleton
869,KRTAP3-2,Singleton
870,CGB3,Singleton
871,MSGN1,Singleton
872,ST20-MTHFS,Singleton
873,TMEM265,Singleton
874,CCDC188,Singleton
875,ACTL9,Singleton
876,OC90,Singleton
877,DRGX,Singleton
878,RNASE12,Singleton
879,OR2A4,Singleton
880,FAM24A,Singleton
881,DAZ1,Singleton
882,PSKH2,Singleton
883,TECTB,Singleton
884,BOD1L2,Singleton
885,CGB5,Singleton
886,MRGPRD,Singleton
887,TRIM43B,Singleton
888,KRTAP4-8,Singleton
889,BLID,Singleton
890,DAZ2,Singleton
891,MRGPRX3,Singleton
892,DEFB132,Singleton
893,ZNF705D,Singleton
894,TGM7,Singleton
895,LRRC30,Singleton
896,GPR152,Singleton
897,TOPAZ1,Singleton
898,XAGE3,Singleton
899,KRTAP10-9,Singleton
900,XAGE1B,Singleton
901,SAXO1,Singleton
902,BPIFA2,Singleton
903,GLT6D1,Singleton
904,RNF113B,Singleton
905,LCN6,Singleton
906,CBY3,Singleton
907,KRT26,Singleton
908,CSAG1,Singleton
909,ARSH,Singleton
910,ASB17,Singleton
911,PATE2,Singleton
912,HSFY2,Singleton
913,SLC22A24,Singleton
914,URAD,Singleton
915,SSX4,Singleton
916,RTP2,Singleton
917,GOLGA8F,Singleton
918,OR51B5,Singleton
919,SULT6B1,Singleton
920,NBPF4,Singleton
921,DAZ4,Singleton
922,GPR33,Singleton
923,LYZL2,Singleton
924,GAB4,Singleton
925,DYTN,Singleton
926,SCP2D1,Singleton
927,OR8A1,Singleton
928,OTOL1,Singleton
929,NBPF6,Singleton
930,TMCO2,Singleton
931,KRT82,Singleton
932,MCCD1,Singleton
933,CGB8,Singleton
934,CEACAM18,Singleton
935,DCANP1,Singleton
936,BECN2,Singleton
937,SPATA31D4,Singleton
938,TMEM207,Singleton
939,TERB1,Singleton
940,FTHL17,Singleton
941,SPANXA1,Singleton
942,VCX3A,Singleton
943,LRRC3C,Singleton
944,PRSS54,Singleton
945,TEX38,Singleton
946,HTR3C,Singleton
